id,text
FOODON:03305236,CHEBI:81884
FOODON:03305236,CHEBI:81896
FOODON:03305236,CHEBI:81907
FOODON:03305236,CHEBI:81931
FOODON:03305236,CHEBI:82029
FOODON:03305236,CHEBI:82041
FOODON:03305236,CHEBI:82041
FOODON:03305236,CHEBI:86644
FOODON:03305806,CHEBI:133997
FOODON:03305806,CHEBI:138164
FOODON:03305806,CHEBI:26833
FOODON:03305806,CHEBI:3018
FOODON:03305806,CHEBI:30260
FOODON:03305806,CHEBI:3093
FOODON:03305806,CHEBI:3390
FOODON:03305806,CHEBI:3416
FOODON:03305806,CHEBI:34520
FOODON:03305806,CHEBI:34608
FOODON:03305806,CHEBI:34682
FOODON:03305806,CHEBI:34714
FOODON:03305806,CHEBI:34905
FOODON:03305806,CHEBI:34911
FOODON:03305806,CHEBI:35014
FOODON:03305806,CHEBI:35027
FOODON:03305806,CHEBI:3639
FOODON:03305806,CHEBI:3751
FOODON:03305806,CHEBI:38449
FOODON:03305806,CHEBI:38473  
FOODON:03305806,CHEBI:38660
FOODON:03305806,CHEBI:38729
FOODON:03305806,CHEBI:38798
FOODON:03305806,CHEBI:39098
FOODON:03305806,CHEBI:39163
FOODON:03305806,CHEBI:39185
FOODON:03305806,CHEBI:39211
FOODON:03305806,CHEBI:39214
FOODON:03305806,CHEBI:39260
FOODON:03305806,CHEBI:39314
FOODON:03305806,CHEBI:39325
FOODON:03305806,CHEBI:39326
FOODON:03305806,CHEBI:39334
FOODON:03305806,CHEBI:39346
FOODON:03305806,CHEBI:39353
FOODON:03305806,CHEBI:39385
FOODON:03305806,CHEBI:4034
FOODON:03305806,CHEBI:4045
FOODON:03305806,CHEBI:40909
FOODON:03305806,CHEBI:4738
FOODON:03305806,CHEBI:5011
FOODON:03305806,CHEBI:52492
FOODON:03305806,CHEBI:5870
FOODON:03305806,CHEBI:59340
FOODON:03305806,CHEBI:60607
FOODON:03305806,CHEBI:6651
FOODON:03305806,CHEBI:67113
FOODON:03305806,CHEBI:6835
FOODON:03305806,CHEBI:6902
FOODON:03305806,CHEBI:6902
FOODON:03305806,CHEBI:70721
FOODON:03305806,CHEBI:75281
FOODON:03305806,CHEBI:78780
FOODON:03305806,CHEBI:81750
FOODON:03305806,CHEBI:81760
FOODON:03305806,CHEBI:81763
FOODON:03305806,CHEBI:81764
FOODON:03305806,CHEBI:81777
FOODON:03305806,CHEBI:81781
FOODON:03305806,CHEBI:81788
FOODON:03305806,CHEBI:81815
FOODON:03305806,CHEBI:81822
FOODON:03305806,CHEBI:81841
FOODON:03305806,CHEBI:81857
FOODON:03305806,CHEBI:81907
FOODON:03305806,CHEBI:81975
FOODON:03305806,CHEBI:81988
FOODON:03305806,CHEBI:82022
FOODON:03305806,CHEBI:82041
FOODON:03305806,CHEBI:83569
FOODON:03305806,CHEBI:8489
FOODON:03302045,CHEBI:116509
FOODON:03302045,CHEBI:131366
FOODON:03302045,CHEBI:132053  
FOODON:03302045,CHEBI:132300
FOODON:03302045,CHEBI:133997
FOODON:03302045,CHEBI:134069
FOODON:03302045,CHEBI:142860
FOODON:03302045,CHEBI:16240
FOODON:03302045,CHEBI:17447
FOODON:03302045,CHEBI:190301
FOODON:03302045,CHEBI:23414
FOODON:03302045,CHEBI:23414
FOODON:03302045,CHEBI:26833
FOODON:03302045,CHEBI:27496
FOODON:03302045,CHEBI:27744
FOODON:03302045,CHEBI:27744
FOODON:03302045,CHEBI:28909
FOODON:03302045,CHEBI:3093
FOODON:03302045,CHEBI:3390
FOODON:03302045,CHEBI:3416
FOODON:03302045,CHEBI:34608
FOODON:03302045,CHEBI:34682
FOODON:03302045,CHEBI:34905
FOODON:03302045,CHEBI:34935
FOODON:03302045,CHEBI:3639
FOODON:03302045,CHEBI:38321
FOODON:03302045,CHEBI:38449
FOODON:03302045,CHEBI:38452
FOODON:03302045,CHEBI:38473  
FOODON:03302045,CHEBI:38630
FOODON:03302045,CHEBI:38665
FOODON:03302045,CHEBI:38746
FOODON:03302045,CHEBI:38786
FOODON:03302045,CHEBI:39098
FOODON:03302045,CHEBI:39163
FOODON:03302045,CHEBI:39175
FOODON:03302045,CHEBI:39185
FOODON:03302045,CHEBI:39211
FOODON:03302045,CHEBI:39260
FOODON:03302045,CHEBI:39314
FOODON:03302045,CHEBI:39334
FOODON:03302045,CHEBI:39346
FOODON:03302045,CHEBI:39353
FOODON:03302045,CHEBI:39385
FOODON:03302045,CHEBI:4045
FOODON:03302045,CHEBI:40909
FOODON:03302045,CHEBI:4791
FOODON:03302045,CHEBI:4917
FOODON:03302045,CHEBI:5015
FOODON:03302045,CHEBI:50842
